Identifier ,Term,Also known as,See Also,Definition ,Notes/Additional Info,External Identifier,External Version Number ,License ,Source,Link 
fairsem:201,Ontology,,,"An ontology, according to one famous definition from 1992, is the ""specification of a conceptualization"" - an abstract, simplified view of the world represented for purposes ranging from knowledge sharing to decision-making. While ontologies are commonly assumed to be semantically complex, with rich sets of relationships between its concepts and axioms designed to support sophisticated inferencing, there is no inherent limit to how simple an ontology may be. Indeed, the key ontologies of the Finto, the Finnish thesaurus and ontology service, are actually SKOS concept schemes, and the Dublin Core vocabulary itself is sometimes referred to as an ontology.",,,,CC-BY 3.0,Dublin Core Metadata Intitiative (DCMI) ,http://www.dublincore.org/resources/glossary/
fairsem:202,Open World Design,,,"Open World Design accepts that information exists in a global context that is evolving in unpredictable ways and avoids assuming that interoperability with future, possibly unanticipated sources can be more than partial.  Open World Design stands in contrast to the Closed World Design of traditional IT environments, in which data is carefully controlled, with document formats and database schemas optimized for specific applications.  Loosely specified vocabularies such as Dublin Core, when used with generic underlying models such as RDF, provide a good technological basis for Open World Design.",,,,CC-BY 3.0,Dublin Core Metadata Intitiative (DCMI) ,http://www.dublincore.org/resources/glossary/
fairsem:203,Shapes,,,"Following a landmark workshop on RDF validation in 2013, two languages have emerged for describing the ""shape"" of graph structures for the purpose of validating RDF data. The Shape Expressions Language (ShEx) and Shapes Constraint Language (SHACL) provide languages for expressing constraints against which graphs of RDF triples can be compared. These languages support the expression of a Dublin Core application profile in a manner that can directly be used for validating metadata based on the profile.",,,,CC-BY 3.0,Dublin Core Metadata Intitiative (DCMI) ,http://www.dublincore.org/resources/glossary/
fairsem:204,Syntax Encoding Scheme,,,"Syntax Encoding Scheme is a DCMI-specific synonym for RDF Datatype. An RDF Datatype indicates that a given literal represents a resource of a given type, such as a Gregorian calendar date, Boolean value, integer, or natural-language character string.  Datatypes are identified by URI and associated with literals using RDF syntax.",,,,CC-BY 3.0,Dublin Core Metadata Intitiative (DCMI) ,http://www.dublincore.org/resources/glossary/
fairsem:205,Vocabulary,,Ontology,"In Semantic Web usage, Vocabulary is a near-synonym for Ontology though ""trend is to use the word ontology for more complex, and possibly quite formal collection of terms, whereas vocabulary is used when such strict formalism is not necessarily used or only in a very loose sense."" Whatever else they might be called, DCMI Metadata Terms, the AGROVOC concept scheme, and the Bibliographic Ontology (BIBO) are also vocabularies.",Vocabulary is a near-synonym for Ontology,,,CC-BY 3.0,Dublin Core Metadata Intitiative (DCMI) ,http://www.dublincore.org/resources/glossary/
fairsem:206,Vocabulary Encoding Scheme,,,"Vocabulary Encoding Scheme (VES) is a DCMI-specific synonym for the identifier of a SKOS Concept Scheme. Starting with the Dublin Core Qualifiers specification of 2000, DCMI coined VES URIs as a way to indicate the source of string values from published controlled vocabularies such as the Library of Congress Subject Headings (LCSH). For example, the string value Textile design--China--History could be marked as coming from LCSH by tagging it with the DCMI-coined VES URI http://purl.",,,,CC-BY 3.0,Dublin Core Metadata Intitiative (DCMI) ,http://www.dublincore.org/resources/glossary/
fairsem:207,DCMI term,,,"A DCMI term is a DCMI element, a DCMI qualifier or term from a DCMI-maintained controlled vocabulary. Each DCMI term is defined in a DCMI recommendation and is identified by a Uniform Resource Identifier (URI) within a DCMI namespace.",,,,CC-BY 3.0,Dublin Core Metadata Intitiative (DCMI) ,http://www.dublincore.org/specifications/dublin-core/dcmi-namespace/2001-09-17/
fairsem:208,DCMI namespace,,,A DCMI namespace is a collection of DCMI terms. Each DCMI namespace is identified by a URI.,,,,CC-BY 3.0,Dublin Core Metadata Intitiative (DCMI) ,http://www.dublincore.org/specifications/dublin-core/dcmi-namespace/2001-09-17/
fairsem:209,DCMI recommendation,,,A DCMI recommendation is a human-readable document that may define one or more DCMI terms.,,,,CC-BY 3.0,Dublin Core Metadata Intitiative (DCMI) ,http://www.dublincore.org/specifications/dublin-core/dcmi-namespace/2001-09-17/
fairsem:21,Search and Retrieval,,,Operations accomplished to obtain information about documents through a retrieval system ,,ISO 5127:2001,,,Termcoord,https://termcoord.eu/glossary-of-terminology-management/
fairsem:210,DCMI term declaration,,,"A DCMI term declaration is the machine-processable representation of one or more DCMI terms, expressed in a schema language.",,,,CC-BY 3.0,Dublin Core Metadata Intitiative (DCMI) ,http://www.dublincore.org/specifications/dublin-core/dcmi-namespace/2001-09-17/
fairsem:211,ADMS,,,"A vocabulary to describe interoperability assets making it possible for ICT developers to explore and search for interoperability assets. ADMS allows public administrations, businesses, standardisation bodies and academia to: describe semantic assets in a common way so that they can be seamlessly cross-queried and discovered by ICT developers from a single access point; search, identify, retrieve and compare semantic assets to be reused, avoiding duplication and expensive design work through a single point of access; keep their own system for documenting and storing semantic assets; improve indexing and visibility of their own assets; link semantic assets to one another in cross-border and cross-sector settings.",Source: https://joinup.ec.europa.eu/asset/adms/description,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:212,API,Application programming interface.,,A way computer programmes talk to one another. It can be understood in terms of how a programmer sends instructions between programmes.,Source: http://schoolofdata.org/handbook/appendix/glossary,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:213,Bulk Download,,,A download containing files from multiple collections that can be retrieved at once.,,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:214,CKAN,Comprehensive Knowledge Archive Network,,"A data management system that makes data accessible by providing tools to streamline publishing, sharing, finding and using data. CKAN is aimed at data publishers (national and regional governments, companies and organisations) working to make their data open and available.",Source: http://ckan.org/,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:215,CORDIS,,,The European Commission’s primary public repository and portal to disseminate information on all EU-funded research projects and their results.,Source: http://cordis.europa.eu/home_en.html,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:216,(Data) Crawling,,,"When extracting data from the web, the term ‘crawling’ is often also referred to as ‘data scraping’ or ‘harvesting’. There is a difference between these terms: crawling refers to dealing with large datasets where someone can develop their own crawlers (or bots), which crawl to the deepest parts of the web pages; data scraping on the other hand refers to retrieving information from any source (not necessarily from the web).",Source: https://www.promptcloud.com/blog/data-scraping-vs-data-crawling,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:217,(Data) Crawler,,,"A crawler is a programme that visits websites and reads their pages and other information in order to create entries for a search engine index. All major search engines on the web have such a programme, which is also known as a ‘spider’ or a ‘bot’.",Source: http://searchsoa.techtarget.com/definition/crawler,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:218,CSV,,,"‘Comma separated values’ file format, often used to exchange data between differently similar applications. The CSV file format is useable by KSpread, OpenOffice Calc and Microsoft Excel spreadsheet applications. Many other applications support CSV to import or export data.",Source: http://edoceo.com/utilitas/csv-file-format,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:219,Dataset,,,A collection of related sets of data that is composed of separate elements but that can be manipulated as a unit and accessed or downloaded in one or more formats.,,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:22,Classification,,,Arrangement of symbols indicating concepts into classes and their subdivisions to express generic relations or other types of relations between them. ,,ISO 5127:2001,,,Termcoord,https://termcoord.eu/glossary-of-terminology-management/
fairsem:220,DCAT,Data catalogue vocabulary.,,An RDF vocabulary for interoperability of data catalogues.,See also: W3C - http://www.w3.org/TR/vocab-dcat,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:221,DCAT-AP,DCAT application profile.,See also: https://joinup.ec.europa.eu/asset/dcat_application_profile/description,"A common vocabulary for describing datasets hosted in data portals in Europe, based on the DCAT.",,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:222,(Data) Dump,,,A large amount of data transferred from one system or location to another.,Source: http://www.oxforddictionaries.com,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:223,DCMI,Dublin core metadata initiative.,,An open organisation supporting innovation in metadata design and best practices across the metadata ecology.,Source: http://dublincore.org/,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:224,ELI,European legislation identifier.,,"It allows to uniquely identify and access national and European legislation online and to guarantee easier access, exchange and reuse of legislation for public authorities, professional users, academics and citizens. ELI paves the way for a semantic web of legal gazettes and official journals.",Source: https://en.wikipedia.org/wiki/European_Legislation_Identifier,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:225,FOAF,,,"‘Friend of a friend’ is a machine-readable descriptive vocabulary of persons, their activities and their relations to other people and objects. FOAF allows groups of people to describe social networks without the need for a centralised database.",Source: https://en.wikipedia.org/wiki/FOAF_%28ontology%29,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:226,JSON,,,JavaScript object notation is an open-standard format that uses human-readable text to transmit data objects consisting of attribute–value pairs. It is the most common data format used for asynchronous browser/server communication (AJAJ).,Source: https://en.wikipedia.org/wiki/JSON,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:227,Linked Data,,,"Linked data describes a method of publishing structured data so that they can be interlinked. It builds upon standard web technologies such as HTTP and URI, but rather than using them to serve web pages for human readers it extends them to share information in a way that can be automatically read by computers.",Source: https://en.wikipedia.org/wiki/Linked_data,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:228,Linked Data Principles,,,"Linked data principles provide a common API for data on the web that is more convenient than many separately and differently designed APIs published by individual data suppliers. Tim Berners-Lee, the inventor of the web and the initiator of the linked data project, proposed the following principles upon which linked data is based: use URIs to name things; use HTTP URIs so that things can be referred to and looked up (dereferenced) by people and user agents; when someone looks up a URI provide useful information using open web standards such as RDF or SPARQL; include links to other related things using their URIs when publishing on the web.",Source: W3C - http://www.w3.org/TR/ld-glossary/#linked-data-principles,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:229,IMMC,Interinstitutional Metadata Maintenance Committee,,"The minimum set of metadata elements, the so-called IMMC core metadata, that is to be used in the data exchange.",Source: http://publications.europa.eu/mdr/core-metadata/,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:23,Glossary,,,"Terminological dictionary which contains a list of designations from a subject field, together with equivalents in one or more languages. ","In English common language usage, glossary can refer to a unilingual list of designations and definitions in a particular subject field.",ISO 1087:2000,,,Termcoord,https://termcoord.eu/glossary-of-terminology-management/
fairsem:230,Interoperability,,,The ability of systems to exchange information and use the exchanged information.,,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:231,ISA,Interoperable Solutions for European Public Administrations.,,"It is a European Commission funded programme aiming at facilitating transactions among cross-border and/or cross-sector public administrations in Europe. ISA² is the follow-up programme to ISA, which ran from 2010 to 2015. ISA² runs from 2016 until 2020.",,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:232,Machine Readable,,,"Machine-readable data are data in a format that can be interpreted by a computer program. There are two types of machine-readable data: Human-readable data that are marked up so that they can also be understood by computers, e.g. microformats, RDFa; Data formats intended principally for computers, e.g. RDF, XML and JSON.",,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:233,Mashup,,,"The combination of multiple datasets from multiple sources to create a new service, visualisation or information.",,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:234,Metadata,,,"Metadata is structured information that describes, explains, locates or otherwise makes it easier to retrieve, use or manage an information resource. Metadata is often referred to as data about data.",Source: NISO - http://www.niso.org/publications/press/UnderstandingMetadata.pdf,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:235,Metadata Registry,MDR,,"The Metadata Registry is an important interoperability and standardisation tool. It registers and maintains definition data (metadata elements, named authority lists, schemas, etc.) used by the different European institutions.",http://publications.europa.eu/mdr/index.html ,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:236,(Data) Mining,,,The practice of examining large pre-existing databases in order to generate new information.,Source: http://www.oxforddictionaries.com,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:237,Ontology,,,"A formal model that allows knowledge to be represented for a specific domain. An ontology describes the types of things that exist (classes), the relationships between them (properties) and the logical ways those classes and properties can be used together (axioms).",Source: W3C - http://www.w3.org/TR/ld-glossary/#ontology,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:238,Open Government Data,,,"Data collected, produced or paid for by the public bodies and made freely available for reuse for any purpose.",,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:239,Open Standards,,,Generally understood as technical standards that are free from licencing restrictions. They can also be interpreted to mean standards that are developed in a vendor-neutral manner.,Source: http://schoolofdata.org/handbook/appendix/glossary,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:24,Language,,,System of signs for communication usually consisting of a vocabulary and rules. ,,ISO 5127:2001,,,Termcoord,https://termcoord.eu/glossary-of-terminology-management/
fairsem:240,(Data) Parsing,,,"Breaking a data block into smaller chunks by following a set of rules so that it can be more easily interpreted, managed or transmitted by a computer.",Source: http://www.businessdictionary.com/definition/parsing.html,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:241,PDF,Portable Document Format,,"A file format used to present and exchange documents independently of software, hardware or operating systems. It is an open standard maintained by the International Organisation for Standardisation.",Source: https://acrobat.adobe.com/be/en/products/about-adobe-pdf.html,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:242,PSI,Public Sector Information.,,"It is the wide range of information that public sector bodies collect, produce, reproduce and disseminate in many areas of activity while accomplishing their institutional tasks. It can be made available under a variety of licences not always open.",,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:243,Raw Data,,,"An expression that refers to data in their original state, not having been processed, aggregated or manipulated in any other way. It is also defined as ‘primary’.",,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:244,RDF,Resource description framework.,,A family of international standards for data interchange on the web. RDF is based on the idea of identifying things using web identifiers or HTTP URIs and describing resources in terms of simple properties and property values.,Source: W3C - http://www.w3.org/TR/ld-glossary/#rdf,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:245,RDFa,,RDF,"Resource description framework in attributes is a W3C recommendation that adds a set of attribute-level extensions to HTML, XHTML and various XML-based document types for embedding rich metadata within web documents.",Source: https://en.wikipedia.org/wiki/RDFa,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:246,Resource,,,"The physical representation of a dataset. Each resource can be a file of any kind, a link to a file elsewhere on the web or a link to an API. For example, if the data is being supplied in multiple formats or split into different areas or time periods, each file is a different ‘resource’ that should be described individually.",,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:247,Semantic Web,,,An evolution or part of the World Wide Web that consists of machine-readable data in RDF and an ability to query that information in standard ways (e.g. via SPARQL).,Source: W3C - http://www.w3.org/TR/ld-glossary/#semantic-web,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:248,(Data) Scraping,,,"The process of extracting data in machine-readable formats of non-pure data sources, for example webpages or PDF documents. Often prefixed with the source (web scraping, PDF scraping).",Sources: http://en.wikipedia.org/wiki/Data_scraping,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:249,SDMX,,,"The process of extracting data in machine-readable formats of non-pure data sources, for example webpages or PDF documents. Often prefixed with the source (web scraping, PDF scraping).",Source: https://en.wikipedia.org/wiki/SDMX,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:25,Equivalent Term,,,Term related to another by an equivalence relation. ,,ISO 5127:2001,,,Termcoord,https://termcoord.eu/glossary-of-terminology-management/
fairsem:250,SEO,Search engine optimisation.,,The process of positively affecting the visibility of a website or a web page in a search engine’s unpaid results.,Source: https://en.wikipedia.org/wiki/Search_engine_optimization,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:251,SOLR,,,"An open source enterprise search platform, whose major features include full-text search, hit highlighting, faceted search, real-time indexing, dynamic clustering, database integration and rich document (e.g. Word, PDF) handling.",Source: https://en.wikipedia.org/wiki/Apache_Solr,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:252,SPARQL,,,"SPARQL protocol and RDF query language (SPARQL) defines a query language for RDF data, analogous to the structured query language (SQL) for relational databases.",Source: https://en.wikipedia.org/wiki/Apache_Solr,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:253,SPARQL ENDPOINT,,,A service that accepts SPARQL queries and returns answers to them as SPARQL result sets. It is a best practice for dataset providers to give the URL of their SPARQL endpoint to allow access to their data programmatically or through a web interface.,Source: W3C - http://www.w3.org/TR/ld-glossary/#sparql-endpoint,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:254,Structured Data,,,"Data that reside in fixed fields within a record or file. Relational databases and spreadsheets are examples of structured data. Although data in XML files are not fixed in location like traditional database records, they are nevertheless structured, because the data are tagged and can be accurately identified.",Source: PC Magazine encyclopaedia - http://www.pcmag.com/encyclopedia/term/52162/structured-data,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:255,Triple,,RDF ,"A triple is a data entity composed of subject-predicate-object, like ‘Bob is 35’ or ‘Bob knows Fred’. Much like a relational database, information is stored in a triplestore and retrieved via a query language.",,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:256,URI,Uniform resource identifier.,,"A string that uniquely identifies virtually anything, including a physical building or more abstract concepts such as colours. It may or may not be resolvable on the web.",Source: W3C - http://www.w3.org/TR/ld-glossary/#uniform-resource-identifier,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:257,URL,Uniform resource locator.,,"A global identifier commonly called a ‘web address’. A URL is resolvable on the web. All HTTP URLs are URIs; however, not all URIs are URLs.",Source: W3C - http://www.w3.org/TR/ld-glossary/#uniform-resource-locator,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:258,URN,Uniform resource name.,,The historical name for a URI.,Source: https://en.wikipedia.org/wiki/Uniform_Resource_Name,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:259,VOCABULARY,,Ontology,"A collection of terms for a particular purpose. Vocabularies can range from simple, such as the widely used RDF schema, FOAF and DCMI element set, to complex vocabularies with thousands of terms, such as those used in healthcare to describe symptoms, diseases and treatments. Vocabularies play a very important role in linked data, specifically to help with data integration. The use of this term overlaps with that of ‘ontology’.",Source: W3C - http://www.w3.org/TR/ld-glossary/#vocabulary,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:26,GFISCO,,,GO FAIR International Support & Coordination Office,https://www.go-fair.org/go-fair-initiative/governance/go-fair-international-support-coordination-office/ ,,,,GO FAIR ,https://www.go-fair.org/resources/glossary/
fairsem:260,WEB 1.0,,,"The first generation of the World Wide Web, characterised by separate static websites rather than continually updated weblogs and social networking tools.",Source: http://en.wiktionary.org/wiki/Web_1.0,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:261,WEB 2.0,,,"A colloquial description of the part of the World Wide Web that implements social networking, blogs, user comments and ratings, and related human-centred activities.",Source: W3C - http://www.w3.org/TR/ld-glossary/#web-2.0,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:262,WEB 3.0,,,A colloquial description of the part of the World Wide Web that implements machine-readable data and the ability to perform distributed queries and analysis on that data. It is considered synonymous with the phrases ‘semantic web’ and ‘the web of data’.,Source: W3C - http://www.w3.org/TR/ld-glossary/#web-3.0,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:263,XML,Extensible markup language.,,It is a markup language that defines a set of rules for encoding documents in a format which is both human readable and machine readable.,Source: https://en.wikipedia.org/wiki/XML,,,"© European Union, 1995-2019; Reuse is authorised, provided the source is acknowledged.",EU Open Data Portal ,https://data.europa.eu/euodp/en/glossary
fairsem:264,API,,,"An application programming interface, which is a set of definitions of the ways one piece of computer software communicates with another. It is a method of achieving abstraction, usually (but not necessarily) between higher-level and lower-level software.",,,,CC BY 3.0 US,Project Open Data ,https://project-open-data.cio.gov/glossary/
fairsem:265,API Analytics,,,"Rate limiting will be part of any API platform, without some sort of usage log and analytics showing developers where they stand, the rate limits will cause nothing but frustration. Clearly show developers where they are at with daily, weekly or monthly API usage and provide proper relief valves allowing them to scale their usage properly.",,,,CC BY 3.0 US,Project Open Data ,https://project-open-data.cio.gov/glossary/
fairsem:266,API Documentation,,,"Quality API documentation is the gateway to a successful API. API documentation needs to be complete, yet simple–a very difficult balance to achieve. This balance takes work and will take the work of more than one individual on an API development team to make happen. API documentation can be written by developers of the API, but additional edits should be made by developers who were not responsible for deploying the API. As a developer, it’s easy to overlook parameters and other details that developers have made assumptions about.",,,,CC BY 3.0 US,Project Open Data ,https://project-open-data.cio.gov/glossary/
fairsem:267,Application Library,,,"Complete, functioning applications built on an API is the end goal of any API owner. Make sure and showcase all applications that are built on an API using an application showcase or directory. App showcases are a great way to showcase not just applications built by the API owner, but also showcase the successful integrations of ecosystem partners and individual developers.",,,,CC BY 3.0 US,Project Open Data ,https://project-open-data.cio.gov/glossary/
fairsem:268,Basic Auth,,,"Basic Auth is a way for a web browser or application to provide credentials in the form of a username and password. Because Basic Auth is integrated into HTTP protocol it is the easiest way for users to authenticate with a RESTful API. Basic Auth is easily integrated, however if SSL is not used, the username and password are passed in plain text and can be easily intercepted on the open Internet.",,,,CC BY 3.0 US,Project Open Data ,https://project-open-data.cio.gov/glossary/
fairsem:269,Catalog,,,A catalog is a collection of datasets or web services.,,,,CC BY 3.0 US,Project Open Data ,https://project-open-data.cio.gov/glossary/
fairsem:27,Persistent identifier,,,"An identifier is a sequence of characters that identifies an entity. The term ‘persistent identifier​’ is usually used in the context of digital objects that are accessible over the Internet. Typically, such an identifier is not only persistent but also actionable, i.e., it is a Uniform Resource URI)​, ​usually of type http/s, ​that you can paste in a web browser address bar to be taken to the identified source Identifier",https://www.biorxiv.org/content/biorxiv/early/2017/03/20/117812.full.pdf ,,,,GO FAIR ,https://www.go-fair.org/resources/glossary/
fairsem:270,Code Library,,,"Working code samples in all the top programming languages are common place in the most successful APIs. Documentation will describe in a general way, how to use an API, but code samples will speak in the specific language of developers.",,,,CC BY 3.0 US,Project Open Data ,https://project-open-data.cio.gov/glossary/
fairsem:271,Content API,,,"A web service that provides dynamic access to the page content of a website, includes the title, body, and body elements of individual pages. Such an API often but not always functions atop a Content Management System.",,,,CC BY 3.0 US,Project Open Data ,https://project-open-data.cio.gov/glossary/
fairsem:272,CSV,,,"A comma separated values (CSV) file is a computer data file used for implementing the tried and true organizational tool, the Comma Separated List. The CSV file is used for the digital storage of data structured in a table of lists form. Each line in the CSV file corresponds to a row in the table. Within a line, fields are separated by commas, and each field belongs to one table column. CSV files are often used for moving tabular data between two different computer programs (like moving between a database program and a spreadsheet program).",,,,CC BY 3.0 US,Project Open Data ,https://project-open-data.cio.gov/glossary/
fairsem:273,CSW,,,"Catalog Service for the Web (CSW) is an API used by geospatial systems to provide metadata in open standards, including in the FGDC-endorsed ISO 19115 schema. The CSW-provided metadata can be mapped into the Project Open Data metadata schema. -source",,,,CC BY 3.0 US,Project Open Data ,https://project-open-data.cio.gov/glossary/
fairsem:274,Data,,,"A value or set of values representing a specific concept or concepts. Data become “information” when analyzed and possibly combined with other data in order to extract meaning, and to provide context. The meaning of data can vary depending on its context. Data includes all data. It includes, but is not limited to, 1) geospatial data 2) unstructured data, 3) structured data, etc.",,,,CC BY 3.0 US,Project Open Data ,https://project-open-data.cio.gov/glossary/
fairsem:275,/Data page,,,A hub for data discovery which provides a common location that lists and links to an organization’s datasets. Such a hub is often located at www.example.com/data.,,,,CC BY 3.0 US,Project Open Data ,https://project-open-data.cio.gov/glossary/
fairsem:276,Data Asset,,,"A collection of data elements or datasets that make sense to group together. Each community of interest identifies the Data Assets specific to supporting the needs of their respective mission or business functions. Notably, a Data Asset is a deliberately abstract concept. A given Data Asset may represent an entire database consisting of multiple distinct entity classes, or may represent a single entity class. -source",,,,CC BY 3.0 US,Project Open Data ,https://project-open-data.cio.gov/glossary/
